chromosome	start	end	exon_name	exon#	strand
13	32315508	32315667	ENSE00001184784	1	+
13	32316422	32316527	ENSE00001484009	2	+
13	32319077	32319325	ENSE00003666217	3	+
13	32325076	32325184	ENSE00003659301	4	+
13	32326101	32326150	ENSE00003739878	5	+
13	32326242	32326282	ENSE00003747332	6	+
13	32326499	32326613	ENSE00003749714	7	+
13	32329443	32329492	ENSE00003714754	8	+
13	32330919	32331030	ENSE00003731761	9	+
13	32332272	32333387	ENSE00000939167	10	+
13	32336265	32341196	ENSE00000939168	11	+
13	32344558	32344653	ENSE00000939169	12	+
13	32346827	32346896	ENSE00000939171	13	+
13	32354861	32355288	ENSE00000939173	14	+
13	32356428	32356609	ENSE00000939174	15	+
13	32357742	32357929	ENSE00000939175	16	+
13	32362523	32362693	ENSE00001394102	17	+
13	32363179	32363533	ENSE00000939177	18	+
13	32370402	32370557	ENSE00000939178	19	+
13	32370956	32371100	ENSE00000939180	20	+
13	32376670	32376791	ENSE00003461148	21	+
13	32379317	32379515	ENSE00000939183	22	+
13	32379750	32379913	ENSE00000939185	23	+
13	32380007	32380145	ENSE00000939187	24	+
13	32394689	32394933	ENSE00000939189	25	+
13	32396898	32397044	ENSE00003560258	26	+
13	32398162	32400268	ENSE00003717596	27	+
